time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-06 00:00:00+00:00,18,8,1,1
2026-04-07 00:00:00+00:00,22,13,4,4
2026-04-08 00:00:00+00:00,15,8,6,6
2026-04-09 00:00:00+00:00,10,5,7,4
2026-04-10 00:00:00+00:00,36,10,4,4
2026-04-11 00:00:00+00:00,12,7,1,1
2026-04-12 00:00:00+00:00,5,5,1,1
2026-04-13 00:00:00+00:00,14,7,2,2
2026-04-14 00:00:00+00:00,21,8,7,3
2026-04-15 00:00:00+00:00,13,8,3,3
2026-04-16 00:00:00+00:00,24,8,11,6
2026-04-17 00:00:00+00:00,18,8,4,4
2026-04-18 00:00:00+00:00,12,7,2,2
2026-04-19 00:00:00+00:00,37,15,1,1
