time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-25 00:00:00+00:00,15,6,2,2
2026-01-26 00:00:00+00:00,15,10,3,3
2026-01-27 00:00:00+00:00,15,9,7,5
2026-01-28 00:00:00+00:00,10,5,1,1
2026-01-29 00:00:00+00:00,13,8,7,5
2026-01-30 00:00:00+00:00,18,9,8,6
2026-01-31 00:00:00+00:00,9,4,1,1
2026-02-01 00:00:00+00:00,21,12,2,2
2026-02-02 00:00:00+00:00,11,6,9,2
2026-02-03 00:00:00+00:00,14,8,16,9
2026-02-04 00:00:00+00:00,17,10,1,1
2026-02-05 00:00:00+00:00,10,5,2,2
2026-02-06 00:00:00+00:00,14,9,3,3
2026-02-07 00:00:00+00:00,12,7,2,1
