time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-19 00:00:00+00:00,4,2,1.0,1.0
2025-05-20 00:00:00+00:00,2,2,4.0,2.0
2025-05-21 00:00:00+00:00,3,2,4.0,2.0
2025-05-22 00:00:00+00:00,5,3,7.0,3.0
2025-05-23 00:00:00+00:00,7,4,1.0,1.0
2025-05-24 00:00:00+00:00,5,2,,
2025-05-25 00:00:00+00:00,1,1,1.0,1.0
2025-05-26 00:00:00+00:00,4,2,13.0,3.0
2025-05-27 00:00:00+00:00,1,1,5.0,1.0
2025-05-28 00:00:00+00:00,1,1,5.0,4.0
2025-05-29 00:00:00+00:00,5,3,5.0,2.0
2025-05-30 00:00:00+00:00,1,1,4.0,3.0
2025-05-31 00:00:00+00:00,4,3,1.0,1.0
2025-06-01 00:00:00+00:00,1,1,3.0,3.0
