time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-20 00:00:00+00:00,3,3,20,3
2024-04-21 00:00:00+00:00,1,1,4,2
2024-04-22 00:00:00+00:00,5,4,107,8
2024-04-23 00:00:00+00:00,2,2,21,8
2024-04-24 00:00:00+00:00,5,2,4,3
2024-04-25 00:00:00+00:00,2,2,3,1
2024-04-26 00:00:00+00:00,3,3,11,5
2024-04-27 00:00:00+00:00,3,3,1,1
2024-04-28 00:00:00+00:00,1,1,1,1
2024-04-29 00:00:00+00:00,5,4,14,7
2024-04-30 00:00:00+00:00,4,4,59,8
2024-05-01 00:00:00+00:00,3,2,21,4
2024-05-02 00:00:00+00:00,1,1,16,6
2024-05-03 00:00:00+00:00,1,1,12,6
