time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-17 00:00:00+00:00,,,4,3
2024-07-18 00:00:00+00:00,,,1,1
2024-07-19 00:00:00+00:00,1.0,1.0,5,2
2024-07-20 00:00:00+00:00,3.0,2.0,24,2
2024-07-21 00:00:00+00:00,2.0,1.0,18,1
2024-07-22 00:00:00+00:00,,,45,6
2024-07-23 00:00:00+00:00,2.0,2.0,39,10
2024-07-24 00:00:00+00:00,,,7,5
2024-07-25 00:00:00+00:00,,,6,4
2024-07-26 00:00:00+00:00,,,10,3
2024-07-27 00:00:00+00:00,1.0,1.0,2,2
2024-07-28 00:00:00+00:00,1.0,1.0,12,1
2024-07-29 00:00:00+00:00,2.0,1.0,1,1
2024-07-30 00:00:00+00:00,,,10,2
