time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-27 00:00:00+00:00,3,3,1.0,1.0
2024-04-28 00:00:00+00:00,1,1,1.0,1.0
2024-04-29 00:00:00+00:00,5,4,14.0,7.0
2024-04-30 00:00:00+00:00,4,4,59.0,8.0
2024-05-01 00:00:00+00:00,3,2,21.0,4.0
2024-05-02 00:00:00+00:00,1,1,16.0,6.0
2024-05-03 00:00:00+00:00,6,4,21.0,8.0
2024-05-04 00:00:00+00:00,1,1,14.0,3.0
2024-05-05 00:00:00+00:00,1,1,,
2024-05-06 00:00:00+00:00,7,4,20.0,5.0
2024-05-07 00:00:00+00:00,6,4,13.0,7.0
2024-05-08 00:00:00+00:00,5,5,30.0,9.0
2024-05-09 00:00:00+00:00,4,3,36.0,7.0
2024-05-10 00:00:00+00:00,1,1,22.0,3.0
