time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-11 00:00:00+00:00,7,3,1,1
2026-01-12 00:00:00+00:00,3,3,3,2
2026-01-13 00:00:00+00:00,2,2,0,0
2026-01-14 00:00:00+00:00,9,5,4,4
2026-01-15 00:00:00+00:00,7,4,3,2
2026-01-16 00:00:00+00:00,8,4,0,0
2026-01-17 00:00:00+00:00,2,2,2,1
2026-01-18 00:00:00+00:00,10,5,3,2
2026-01-19 00:00:00+00:00,18,8,3,2
2026-01-20 00:00:00+00:00,23,13,24,4
2026-01-21 00:00:00+00:00,6,5,19,7
2026-01-22 00:00:00+00:00,9,6,20,8
2026-01-23 00:00:00+00:00,3,3,6,5
2026-01-24 00:00:00+00:00,20,10,6,4
