time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-11 00:00:00+00:00,16,7,2,2
2026-02-12 00:00:00+00:00,21,11,7,4
2026-02-13 00:00:00+00:00,14,5,1,1
2026-02-14 00:00:00+00:00,7,3,0,0
2026-02-15 00:00:00+00:00,9,4,0,0
2026-02-16 00:00:00+00:00,12,7,3,2
2026-02-17 00:00:00+00:00,10,5,18,2
2026-02-18 00:00:00+00:00,13,8,4,2
2026-02-19 00:00:00+00:00,11,6,2,2
2026-02-20 00:00:00+00:00,5,4,7,3
2026-02-21 00:00:00+00:00,7,3,0,0
2026-02-22 00:00:00+00:00,12,8,2,2
2026-02-23 00:00:00+00:00,16,8,1,1
2026-02-24 00:00:00+00:00,2,2,9,3
