time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-08 00:00:00+00:00,5,5,30,9
2024-05-09 00:00:00+00:00,4,3,36,7
2024-05-10 00:00:00+00:00,2,2,22,3
2024-05-11 00:00:00+00:00,1,1,3,1
2024-05-12 00:00:00+00:00,1,1,1,1
2024-05-13 00:00:00+00:00,3,3,50,6
2024-05-14 00:00:00+00:00,1,1,22,3
2024-05-15 00:00:00+00:00,4,3,7,6
2024-05-16 00:00:00+00:00,2,2,5,4
2024-05-17 00:00:00+00:00,2,2,9,4
2024-05-18 00:00:00+00:00,2,2,3,1
2024-05-19 00:00:00+00:00,1,1,3,1
2024-05-20 00:00:00+00:00,3,3,3,3
2024-05-21 00:00:00+00:00,1,1,5,5
