time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-11 00:00:00+00:00,28,7,1,1
2026-05-12 00:00:00+00:00,4,4,2,2
2026-05-13 00:00:00+00:00,49,11,5,1
2026-05-14 00:00:00+00:00,26,9,0,0
2026-05-15 00:00:00+00:00,27,10,0,0
2026-05-16 00:00:00+00:00,27,10,0,0
2026-05-17 00:00:00+00:00,12,6,1,1
2026-05-18 00:00:00+00:00,5,4,4,3
2026-05-19 00:00:00+00:00,14,5,4,4
2026-05-20 00:00:00+00:00,18,5,0,0
2026-05-21 00:00:00+00:00,16,6,6,3
2026-05-22 00:00:00+00:00,14,4,8,2
2026-05-23 00:00:00+00:00,17,12,3,1
2026-05-24 00:00:00+00:00,26,11,5,2
