time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-13 00:00:00+00:00,1,1,,
2024-03-14 00:00:00+00:00,4,3,15.0,5.0
2024-03-15 00:00:00+00:00,8,6,11.0,6.0
2024-03-16 00:00:00+00:00,1,1,2.0,1.0
2024-03-17 00:00:00+00:00,2,2,,
2024-03-18 00:00:00+00:00,4,4,14.0,9.0
2024-03-19 00:00:00+00:00,3,3,5.0,3.0
2024-03-20 00:00:00+00:00,6,4,41.0,9.0
2024-03-21 00:00:00+00:00,2,2,10.0,4.0
2024-03-22 00:00:00+00:00,2,2,3.0,3.0
2024-03-23 00:00:00+00:00,2,2,1.0,1.0
2024-03-24 00:00:00+00:00,1,1,22.0,4.0
2024-03-25 00:00:00+00:00,2,2,6.0,4.0
2024-03-26 00:00:00+00:00,2,1,5.0,1.0
