time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-07 00:00:00+00:00,5,5,4.0,3.0
2025-07-08 00:00:00+00:00,6,5,13.0,6.0
2025-07-09 00:00:00+00:00,1,1,5.0,5.0
2025-07-10 00:00:00+00:00,3,3,2.0,2.0
2025-07-11 00:00:00+00:00,1,1,3.0,3.0
2025-07-12 00:00:00+00:00,4,4,1.0,1.0
2025-07-13 00:00:00+00:00,4,4,,
2025-07-14 00:00:00+00:00,9,9,9.0,4.0
2025-07-15 00:00:00+00:00,4,3,27.0,3.0
2025-07-16 00:00:00+00:00,6,6,4.0,4.0
2025-07-17 00:00:00+00:00,1,1,1.0,1.0
2025-07-18 00:00:00+00:00,3,3,3.0,3.0
2025-07-19 00:00:00+00:00,5,5,,
