time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-26 00:00:00+00:00,4.0,3.0,51.0,8.0
2024-01-27 00:00:00+00:00,6.0,6.0,6.0,2.0
2024-01-28 00:00:00+00:00,11.0,7.0,8.0,3.0
2024-01-29 00:00:00+00:00,5.0,5.0,65.0,13.0
2024-01-30 00:00:00+00:00,6.0,6.0,21.0,6.0
2024-01-31 00:00:00+00:00,2.0,2.0,20.0,5.0
2024-02-01 00:00:00+00:00,2.0,2.0,9.0,3.0
2024-02-02 00:00:00+00:00,2.0,2.0,32.0,9.0
2024-02-03 00:00:00+00:00,2.0,2.0,2.0,1.0
2024-02-04 00:00:00+00:00,2.0,2.0,,
2024-02-05 00:00:00+00:00,5.0,4.0,11.0,5.0
2024-02-06 00:00:00+00:00,4.0,4.0,15.0,8.0
2024-02-07 00:00:00+00:00,3.0,3.0,53.0,6.0
2024-02-08 00:00:00+00:00,,,7.0,3.0
