time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-11 00:00:00+00:00,11,6,8.0,5.0
2025-04-12 00:00:00+00:00,3,2,,
2025-04-13 00:00:00+00:00,2,2,,
2025-04-14 00:00:00+00:00,1,1,27.0,4.0
2025-04-15 00:00:00+00:00,1,1,2.0,2.0
2025-04-16 00:00:00+00:00,2,2,23.0,3.0
2025-04-17 00:00:00+00:00,5,5,17.0,5.0
2025-04-18 00:00:00+00:00,3,2,3.0,2.0
2025-04-19 00:00:00+00:00,1,1,5.0,4.0
2025-04-20 00:00:00+00:00,1,1,5.0,3.0
2025-04-21 00:00:00+00:00,2,2,5.0,5.0
2025-04-22 00:00:00+00:00,1,1,6.0,4.0
2025-04-23 00:00:00+00:00,5,2,25.0,6.0
2025-04-24 00:00:00+00:00,1,1,10.0,3.0
