time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-05 00:00:00+00:00,2,2,10.0,5.0
2025-03-06 00:00:00+00:00,4,4,7.0,6.0
2025-03-07 00:00:00+00:00,4,3,1.0,1.0
2025-03-08 00:00:00+00:00,5,2,,
2025-03-09 00:00:00+00:00,5,2,,
2025-03-10 00:00:00+00:00,1,1,7.0,5.0
2025-03-11 00:00:00+00:00,9,6,9.0,6.0
2025-03-12 00:00:00+00:00,1,1,18.0,2.0
2025-03-13 00:00:00+00:00,1,1,5.0,3.0
2025-03-14 00:00:00+00:00,2,2,3.0,3.0
2025-03-15 00:00:00+00:00,5,3,67.0,2.0
2025-03-16 00:00:00+00:00,5,3,6.0,3.0
2025-03-17 00:00:00+00:00,2,2,31.0,4.0
2025-03-18 00:00:00+00:00,4,1,44.0,6.0
