time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-12 00:00:00+00:00,1,1,1,1
2024-05-13 00:00:00+00:00,3,3,50,6
2024-05-14 00:00:00+00:00,1,1,22,3
2024-05-15 00:00:00+00:00,4,3,7,6
2024-05-16 00:00:00+00:00,2,2,5,4
2024-05-17 00:00:00+00:00,2,2,9,4
2024-05-18 00:00:00+00:00,2,2,3,1
2024-05-19 00:00:00+00:00,1,1,3,1
2024-05-20 00:00:00+00:00,3,3,3,3
2024-05-21 00:00:00+00:00,3,3,5,5
2024-05-22 00:00:00+00:00,11,6,77,11
2024-05-23 00:00:00+00:00,2,2,15,3
2024-05-24 00:00:00+00:00,5,4,3,3
