time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-04 00:00:00+00:00,5,3,2.0,2.0
2025-04-05 00:00:00+00:00,5,3,6.0,4.0
2025-04-06 00:00:00+00:00,5,4,17.0,7.0
2025-04-07 00:00:00+00:00,2,2,4.0,2.0
2025-04-08 00:00:00+00:00,7,4,8.0,3.0
2025-04-09 00:00:00+00:00,4,4,7.0,6.0
2025-04-10 00:00:00+00:00,9,5,8.0,4.0
2025-04-11 00:00:00+00:00,11,6,8.0,5.0
2025-04-12 00:00:00+00:00,3,2,,
2025-04-13 00:00:00+00:00,2,2,,
2025-04-14 00:00:00+00:00,1,1,27.0,4.0
2025-04-15 00:00:00+00:00,1,1,2.0,2.0
2025-04-16 00:00:00+00:00,2,2,23.0,3.0
2025-04-17 00:00:00+00:00,3,3,17.0,5.0
